variant,station_id,pattern,mae_mean_mean,mae_mean_std,mae_mean_count,rmse_mean_mean,rmse_mean_std,rmse_mean_count,mae_T_mean,mae_T_std,mae_T_count,mae_RH_mean,mae_RH_std,mae_RH_count,mae_wspd_mean,mae_wspd_std,mae_wspd_count,mae_P_mean,mae_P_std,mae_P_count,mae_q_mean,mae_q_std,mae_q_count,rmse_T_mean,rmse_T_std,rmse_T_count,rmse_RH_mean,rmse_RH_std,rmse_RH_count,rmse_wspd_mean,rmse_wspd_std,rmse_wspd_count,rmse_P_mean,rmse_P_std,rmse_P_count,rmse_q_mean,rmse_q_std,rmse_q_count
gated_baseline,butcher_ridge,long,0.30761797229448956,0.0053259707980494245,3,0.3978884716828664,0.006426720027904471,3,0.28139262398084003,0.00352288587030755,3,0.43801746765772503,0.01350826593507667,3,0.6051657199859619,0.009733471847005154,3,0.07612487922112147,0.01538768249560001,3,0.13738913337389627,0.007622804395527083,3,0.362190047899882,0.006867487406866402,3,0.5483245054880778,0.010940848937305321,3,0.8035077055295309,0.015743465598114133,3,0.09358399113019307,0.016020403758911353,3,0.18183611830075583,0.007164600293889822,3
gated_baseline,butcher_ridge,medium,0.2863708237806956,0.0026137970786028995,3,0.37169044216473895,0.0023213511854825925,3,0.2529902756214142,0.002095447401331252,3,0.38362595438957214,0.01028291959981831,3,0.6004136204719543,0.01445131003247436,3,0.06809108580152194,0.0129506922663174,3,0.12673316399256387,0.0009229529457189547,3,0.326778123776118,0.005289415792920434,3,0.49585121870040894,0.015879660446959775,3,0.7829578717549642,0.019355959521322207,3,0.08496476461489995,0.014010168990483646,3,0.1679002344608307,0.003083723211841089,3
gated_baseline,butcher_ridge,short,0.27465492486953735,0.003210298552812407,3,0.3554743429025014,0.002430183250508455,3,0.2345176786184311,0.007611675274303959,3,0.3547230859597524,0.005088221533929517,3,0.5871873100598654,0.012653585226150732,3,0.07298841327428818,0.0071022711413198155,3,0.1238581861058871,0.0021490129752525897,3,0.30137181282043457,0.010877896573784723,3,0.4604697028795878,0.007905104112709341,3,0.7614044547080994,0.017062704468662992,3,0.09039274354775746,0.008220628533061613,3,0.1637329955895742,0.0045365767561762185,3
gated_baseline,mount_sidley,long,0.34665510058403015,0.010782982371402353,3,0.4768865903218587,0.0121837595902454,3,0.3067177931467692,0.01720341728701979,3,0.5983129739761353,0.009872219432025604,3,0.4967069129149119,0.011599245760688806,3,0.07619177301724751,0.015934387334953018,3,0.25534610946973163,0.02425172700926874,3,0.3830241362253825,0.022880553384007418,3,0.7577194770177206,0.007895058348686949,3,0.7931919097900391,0.011369336746859839,3,0.0960869590441386,0.019209884869072796,3,0.3544104993343353,0.025491159103316154,3
gated_baseline,mount_sidley,medium,0.3250668446222941,0.0005521023338644718,3,0.44581369558970135,0.002321321150192173,3,0.2463947981595993,0.005451247709375572,3,0.5752030809720358,0.01249905499221953,3,0.5037931303183237,0.005584447983955105,3,0.06497391064961751,0.00237514121859858,3,0.23496934274832407,0.007814272311266768,3,0.31162453691164654,0.006119382271318158,3,0.7145381172498068,0.016242672471252058,3,0.7914432287216187,0.0012935657862178055,3,0.08192417770624161,0.002033458424521808,3,0.3295385042826335,0.0114587769398994,3
gated_baseline,mount_sidley,short,0.3130299945672353,0.004780240253734267,3,0.42891767621040344,0.005926562366966182,3,0.206865593791008,0.004432199054210164,3,0.5515718261400858,0.007434240331007695,3,0.5143160621325175,0.01443151050479238,3,0.0752273624142011,0.002406632707643461,3,0.21716915567715964,0.002632115233114089,3,0.26271379987398785,0.005932473377276144,3,0.68476935227712,0.010191225052149349,3,0.7992043495178223,0.01468160084220476,3,0.09377298504114151,0.002805482270715276,3,0.3041280408700307,0.009165382182948255,3
gated_baseline,nico,long,0.16325527926286063,0.004147056695365753,3,0.20690753062566122,0.004744905202995766,3,0.1726297934850057,0.005830137482449211,3,0.30949748555819195,0.025136529223442554,3,0.2116524875164032,0.005947499216010432,3,0.060792043805122375,0.0027408130602587077,3,0.061704578498999275,0.00453358531566269,3,0.22821396589279175,0.00708485673147,3,0.37870146830876666,0.029947121946540377,3,0.27113015453020733,0.00783530171375653,3,0.0765450398127238,0.002646727867896576,3,0.07994706928730011,0.005588698204096511,3
gated_baseline,nico,medium,0.1378956437110901,0.004397063104221748,3,0.17708879709243774,0.005412947794076489,3,0.1701637009779612,0.006008870749816731,3,0.19282418489456177,0.009555031421425044,3,0.20403207341829935,0.0065610152295688135,3,0.06241512050231298,0.007743109280910515,3,0.06004316111405691,0.007291953892642547,3,0.22481549779574075,0.006983499144286476,3,0.24278044700622559,0.011187885683836921,3,0.26179179549217224,0.006655817112776376,3,0.0778894101579984,0.009196202346504046,3,0.07816682755947113,0.008366623437903644,3
gated_baseline,nico,short,0.13089536627133688,0.004797907418936133,3,0.16853192945321402,0.00586445841585316,3,0.16908732056617737,0.0027421509829450618,3,0.14422390361626944,0.0034134331315280207,3,0.1952309956153234,0.0007026902746332279,3,0.08430071423451106,0.015176852036094845,3,0.061633879939715065,0.004038038441222516,3,0.22453699509302774,0.005144667192822149,3,0.18375366429487863,0.004179687327219561,3,0.2516796886920929,0.0012288563241565334,3,0.1037115529179573,0.016024290105292573,3,0.07897770901521046,0.00460045747895517,3
gated_baseline,sabrina,long,0.24559913575649261,0.002994569974431196,3,0.3276955485343933,0.005264265550884826,3,0.19963649411996207,0.002825218237646392,3,0.31094178557395935,0.0014735316642567533,3,0.4300162096818288,0.01264458945294328,3,0.05987620477875074,0.00289970545709931,3,0.22752499083677927,0.010413259059183808,3,0.2654331127802531,0.005011410997025544,3,0.3879648745059967,0.0027858553197046216,3,0.5721912185351054,0.02083759300155731,3,0.08816630641619365,0.008200574378406031,3,0.3247222403685252,0.015027029772334357,3
gated_baseline,sabrina,medium,0.23904275397459665,0.0008943816463160137,3,0.31862257917722064,0.003049002822777941,3,0.19809781511624655,0.005061595419705205,3,0.30786827206611633,0.011195512235633705,3,0.41590696573257446,0.01072109599394496,3,0.054847760746876396,0.0037386934842278175,3,0.2184929351011912,0.011887514846412274,3,0.2649300495783488,0.0049530933841487835,3,0.3889817198117574,0.011067636204252272,3,0.5539059638977051,0.016110784330203524,3,0.07835724949836731,0.0152995513232486,3,0.3069378634293874,0.015670213968231303,3
gated_baseline,sabrina,short,0.2314381500085195,0.0023669884884395683,3,0.30576443672180176,0.0031813961661108425,3,0.18310677508513132,0.003377107592654021,3,0.29852935671806335,0.00919874308610853,3,0.40651508172353107,0.004253948610796697,3,0.04868723203738531,0.0011010971058591074,3,0.22035225729147592,0.007576285877314902,3,0.24611115455627441,0.005998919893692446,3,0.37747567892074585,0.009524943281189033,3,0.5387977957725525,0.007020144459521069,3,0.061801277101039886,0.001190862976424448,3,0.30463629961013794,0.00889649331442041,3
gated_baseline,zhongshan,long,0.3089134295781453,0.004397538372163477,3,0.39173780878384906,0.0044649045807732745,3,0.14590648810068765,0.002450313241095136,3,0.4937194486459096,0.006614891561537818,3,0.5042819281419119,0.011718970943903036,3,0.05983559414744377,0.001519560206132051,3,0.3408236801624298,0.002560292158903483,3,0.19278772175312042,0.00389223276339366,3,0.6063034534454346,0.006679944657008149,3,0.6427004535992941,0.012163074300129638,3,0.07846889644861221,0.00177545508029764,3,0.43842850128809613,0.005196585745697176,3
gated_baseline,zhongshan,medium,0.2896493176619212,0.005892020355617853,3,0.3701144854227702,0.007985254962731702,3,0.1406023253997167,0.004469258218264409,3,0.4490186671415965,0.0020236547204928027,3,0.470003883043925,0.02355646767237774,3,0.05153267954786619,0.0007978150330643576,3,0.33708903193473816,0.00539402911238437,3,0.18951628108819327,0.005103529815076434,3,0.5562018950780233,0.0012320704961105587,3,0.6068796912829081,0.03425377347820355,3,0.06654117753108342,0.0004565524809555393,3,0.4314333995183309,0.004606312608747334,3
gated_baseline,zhongshan,short,0.26666949192682904,0.0025915524339884567,3,0.34207823872566223,0.002883503492845956,3,0.13018899659315744,0.0017477403094843574,3,0.4172097345193227,0.0012832006117682049,3,0.4237780074278514,0.007701630830257715,3,0.04941724861661593,0.0009804625398992248,3,0.31275351842244464,0.004300674600471825,3,0.17479943732420603,0.0009528794557488836,3,0.5170820156733195,0.0017435526750967764,3,0.5469463268915812,0.009989250690378648,3,0.06222815811634064,0.0010104356870729485,3,0.4093352158864339,0.0064350183192513335,3
sabc_metadata,butcher_ridge,long,0.2905572752157847,0.0066719946897431485,3,0.3675498863061269,0.006082070154496464,3,0.28499088684717816,0.006953655723154423,3,0.41001596053441364,0.01953597308270922,3,0.5651302735010783,0.006333578593303794,3,0.061615856985251106,0.009489742306717305,3,0.13103334605693817,0.005015707263248065,3,0.3648633261521657,0.013679762336973413,3,0.5205885966618856,0.018297802962551086,3,0.701197107632955,0.002815955621269592,3,0.07754703611135483,0.009977992741308195,3,0.1735533426205317,0.0049905392286337955,3
sabc_metadata,butcher_ridge,medium,0.2889145116011302,0.000892954695545865,3,0.3707284828027089,0.0024532295165408968,3,0.30075952410697937,0.013791504286644942,3,0.38591646154721576,0.012564901431051392,3,0.5531628330548605,0.0065349460765583706,3,0.060672909021377563,0.003527991111775555,3,0.14406084020932516,0.007118443331369583,3,0.39127259453137714,0.017534328856888548,3,0.49706563353538513,0.013651126822029375,3,0.7002659241358439,0.005868974189064795,3,0.07594616214434306,0.004011449599671734,3,0.18909219900767008,0.007251765348808128,3
